Lead SC,Request Date,Opp Closed Date,Quarter,Days to Close,Module,Category,ARR,Opps Won,Lead SC ,ACV,Win Rate,Average Days to Close,Arr Influence
Yes,2/1/21,2/11/21,Q1 '21,12,Email Marketing,Commerce,"4,990.00",,,,,,
Yes,2/5/21,2/9/21,Q1 '21,4,WMS,Platform,"24,920.28",,,,,,
Yes,1/29/21,2/6/21,Q1 '21,7,Renewal,Retention,"9,287.58",,,,,,
Yes,1/8/21,2/4/21,Q1 '21,28,Email Marketing,Commerce,955.68,,,,,,
Yes,12/11/20,1/29/21,Q1 '21,50,Consulting Services,Support,"23,931.71",,,,,,
Yes,2/2/21,1/28/21,Q1 '21,0,Sandbox,Infrastructure ,"53,000.85",,,,,,
Yes,5/28/21,1/12/21,Q1 '21,0,Consulting Services,Support,"10,000.00",,,,,,
Yes,1/5/21,1/5/21,Q1 '21,0,Ecommerce ,Commerce,"4,590.45",,,,,,
Yes,3/25/21,12/31/20,Q4 '20,0,CRM,Platform,"2,613.60",,,,,,
Yes,12/22/20,12/30/20,Q4 '20,7,Renewal,Retention,"38,124.24",,,,,,
Yes,10/19/20,12/23/20,Q4 '20,78,Consulting Services,Support,"39,425.97",,,,,,
Yes,12/9/20,12/22/20,Q4 '20,13,Email Marketing,Commerce,"5,000.16",,,,,,
Yes,8/14/20,12/18/20,Q4 '20,125,OneWorld,Accounting,"34,531.27",,,,,,
Yes,11/13/20,12/16/20,Q4 '20,33,Email Marketing,Commerce,"6,807.39",,,,,,
Yes,12/7/20,12/16/20,Q4 '20,12,Email Marketing,Commerce,"8,856.10",,,,,,
Yes,12/9/20,12/14/20,Q4 '20,4,Renewal,Retention,"77,360.80",,,,,,
Yes,5/28/21,12/11/20,Q4 '20,0,CRM,Platform,"3,920.40",,,,,,
Yes,9/3/20,12/10/20,Q4 '20,99,Integration ,Infrastructure ,"24,434.98",,,,,,
Yes,10/9/20,11/30/20,Q4 '20,54,Ecommerce ,Commerce,"18,927.13",,,,,,
Yes,11/2/20,11/30/20,Q4 '20,34,Renewal,Retention,"38,310.88",,,,,,
Yes,1/19/21,11/25/20,Q4 '20,0,New Instance ,Platform,"51,666.67",,,,,,
Yes,12/1/20,11/25/20,Q4 '20,0,OneWorld,Accounting,"30,000.00",,,,,,
Yes,11/24/20,11/25/20,Q4 '20,0,Integration ,Infrastructure ,"17,127.47",,,,,,
Yes,10/30/20,11/19/20,Q4 '20,19,Integration ,Infrastructure ,"10,554.72",,,,,,
Yes,8/12/20,11/18/20,Q4 '20,98,Demand Planning,Analytics,"5,930.10",,,,,,
Yes,11/5/20,11/13/20,Q4 '20,8,Database,Infrastructure ,"50,989.80",,,,,,
Yes,10/7/20,11/13/20,Q4 '20,38,Renewal,Retention,"139,923.28",,,,,,
Yes,10/15/20,11/10/20,Q4 '20,25,Database,Infrastructure ,"29,994.00",,,,,,
Yes,7/7/20,10/30/20,Q4 '20,115,Renewal,Retention,"10,193.55",,,,,,
Yes,10/8/20,10/19/20,Q4 '20,16,Renewal,Retention,"13,810.76",,,,,,
Yes,5/22/20,9/30/20,Q3 '20,131,Database,Infrastructure ,"42,859.05",,,,,,
Yes,9/25/20,9/30/20,Q3 '20,4,CRM,Platform,"53,513.64",,,,,,
Yes,9/15/20,9/30/20,Q3 '20,14,OneWorld,Accounting,"10,546.80",,,,,,
Yes,3/11/20,9/30/20,Q3 '20,202,Database,Infrastructure ,"150,000.00",,,,,,
Yes,8/18/20,9/28/20,Q3 '20,47,Ecommerce ,Commerce,"52,789.44",,,,,,
Yes,9/25/20,9/21/20,Q3 '20,0,Consulting Services,Support,"16,500.00",,,,,,
Yes,8/3/20,9/14/20,Q3 '20,46,Renewal,Retention,"17,443.98",,,,,,
Yes,8/20/20,9/3/20,Q3 '20,14,OneWorld,Accounting,"22,265.23",,,,,,
Yes,8/28/20,8/31/20,Q3 '20,2,Renewal,Retention,"49,972.29",,,,,,
Yes,7/28/20,8/31/20,Q3 '20,33,Renewal,Retention,"43,803.64",,,,,,
Yes,3/30/20,8/31/20,Q3 '20,153,OneWorld,Accounting,"34,531.86",,,,,,
Yes,8/5/20,8/31/20,Q3 '20,27,Renewal,Retention,"22,605.78",,,,,,
Yes,8/25/20,8/31/20,Q3 '20,5,Connector,Analytics,"5,389.20",,,,,,
Yes,8/12/20,8/31/20,Q3 '20,20,OneWorld,Accounting,"14,553.76",,,,,,
Yes,8/28/20,8/27/20,Q3 '20,0,POS,Commerce,"97,542.36",,,,,,
Yes,8/24/20,8/26/20,Q3 '20,4,Consulting Services,Support,"43,296.00",,,,,,
Yes,8/10/20,8/12/20,Q3 '20,1,Dunning Collections,Accounting,"6,531.02",,,,,,
Yes,6/25/20,8/7/20,Q3 '20,43,Payments,Accounting,"6,586.79",,,,,,
Yes,8/13/20,7/31/20,Q3 '20,0,Consulting Services,Support,"14,400.00",,,,,,
Yes,8/12/20,7/29/20,Q3 '20,0,Connector,Analytics,"3,293.40",,,,,,
Yes,7/7/20,7/29/20,Q3 '20,21,Renewal,Retention,"2,278.29",,,,,,
Yes,7/9/20,7/29/20,Q3 '20,19,Database,Infrastructure ,"37,961.61",,,,,,
Yes,7/14/20,7/14/20,Q3 '20,0,CRM,Platform,"2,613.60",,,,,,
Team,6/19/20,6/30/20,Q2 '20,11,Work Orders,Manufacturing,"4,312.80",,,,,,
Yes,6/11/20,6/29/20,Q2 '20,24,Ecommerce ,Commerce,"30,593.90",,,,,,
Yes,5/19/20,5/28/20,Q2 '20,8,CRM,Platform,"10,819.20",,,,,,
Yes,5/27/20,5/26/20,Q2 '20,0,Renewal,Retention,"3,184.96",,,,,,
Team,1/21/20,5/21/20,Q2 '20,134,Consulting Services,Support,"14,400.00",,,,,,
Yes,4/29/20,5/20/20,Q2 '20,21,Ecommerce ,Commerce,"21,771.29",,,,,,
Yes,5/6/20,5/19/20,Q2 '20,12,CRM,Platform,24.5,,,,,,
Yes,5/4/20,4/29/20,Q2 '20,0,Renewal,Retention,611.28,,,,,,
Team,3/31/20,4/17/20,Q2 '20,20,Database,Infrastructure ,"230,468.82",,,,,,
Yes,4/17/20,4/17/20,Q2 '20,0,Renewal,Retention,"15,009.20",,,,,,
Yes,3/2/20,4/16/20,Q2 '20,44,Ecommerce ,Commerce,"2,510.81",,,,,,
Team,2/18/20,2/27/20,Q1 '20,14,Ecommerce ,Commerce,"10,328.55",,,,,,
